stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
ESTACION_7109,7109,CAD,4.6231563492365577,-74.084448688980061,1,,0
ESTACION_6103,6103,CAN,4.6470502755254275,-74.099203837257932,1,,0
ESTACION_7010,7010,Bosa,4.5968326938948252,-74.181267128444347,1,,0
ESTACION_4108,4108,Polo,4.67072576047362,-74.064842985045317,1,,0
ESTACION_7009,7009,SENA,4.5973236914682207,-74.110770897740778,1,,0
ESTACION_9105,9105,Fucha,4.5828832586767234,-74.099563239435426,1,,0
ESTACION_9118,9118,Marly,4.6377299287526714,-74.066777596878012,1,,0
ESTACION_9103,9103,Olaya,4.5788315839293032,-74.1075534525781,1,,0
ESTACION_2201,2201,Prado,4.7145073972999061,-74.052613592371955,1,,0
ESTACION_9116,9116,AV. 39,4.62706245017498,-74.068692770485114,1,,0
ESTACION_4103,4103,Ferias,4.6909319278513655,-74.084661148047658,1,,0
ESTACION_9121,9121,Flores,4.6548180498490543,-74.063092808152931,1,,0
ESTACION_8001,8001,Parque,4.5684427897443314,-74.135544145902529,1,,0
ESTACION_2302,2302,Virrey,4.6763868234399126,-74.058958646090346,1,,0
ESTACION_2200,2200,Alcalá,4.7214744367232022,-74.05144363697265,1,,0
ESTACION_4102,4102,Boyacá,4.69393504626405,-74.087195616557452,1,,0
ESTACION_9107,9107,Hortúa,4.5907578220236367,-74.090327650872538,1,,0
ESTACION_2304,2304,Héroes,4.668671387738379,-74.060240793177343,1,,0
ESTACION_6001,6001,Modelia,4.675150384405895,-74.117232124548067,1,,0
ESTACION_9001,9001,Molinos,4.5574204709990767,-74.121797246936552,1,,0
ESTACION_9106,9106,Nariño,4.586393557344369,-74.093844840730341,1,,0
ESTACION_7001,7001,Perdomo,4.59578450631084,-74.164964617096672,1,,0
ESTACION_5105,5105,Pradera,4.6285040322661946,-74.118613706475969,1,,0
ESTACION_9101,9101,Quiroga,4.5768027901872514,-74.114385203259886,1,,0
ESTACION_9003,9003,Socorro,4.5646692006455325,-74.125581992927039,1,,0
ESTACION_7004,7004,Venecia,4.5955542601059447,-74.14284644276141,1,,0
ESTACION_5100,5100,Banderas,4.6313262187542765,-74.1456634204115,1,,0
ESTACION_9111,9111,Calle 19,4.6078686007776311,-74.07688220987518,1,,0
