fare_id,route_id,origin_id,destination_id,contains_id
3,Z_6873,0,,
3,Z_5578,0,,
3,Z_6982,0,,
3,Z_6590,0,,
3,Z_6590-2,0,,
3,Z_4878,0,,
3,Z_4878-2,0,,
3,Z_6995,0,,
3,Z_6995-2,0,,
3,Z_4974,0,,
3,Z_4974-2,0,,
1,T_2071,0,,
1,T_2070,0,,
4,T_1783,0,,
4,T_1785,0,,
3,Z_5635,0,,
3,Z_5635-2,0,,
4,T_1784,0,,
4,T_1940,0,,
3,Z_5086,0,,
3,Z_5086-2,0,,
3,Z_5126,0,,
3,Z_5126-2,0,,
4,T_1899,0,,
4,T_2167,0,,
4,T_2019,0,,
4,T_2168,0,,
4,T_1943,0,,
4,T_1779,0,,
4,T_1787,0,,
4,T_1781,0,,
4,T_1780,0,,
4,T_1776,0,,
4,T_1775,0,,
4,T_1786,0,,
3,Z_6361,0,,
3,Z_6361-2,0,,
3,Z_5949,0,,
3,Z_5949-2,0,,
3,Z_4544,0,,
3,Z_4544-2,0,,
3,Z_5785,0,,
3,Z_5786,0,,
3,Z_6169,0,,
3,Z_6169-2,0,,
3,Z_5695,0,,
3,Z_5695-2,0,,
3,Z_6694,0,,
3,Z_5813,0,,
3,Z_5813-2,0,,
3,Z_6739,0,,
3,Z_6295,0,,
3,Z_6294,0,,
3,Z_6837,0,,
3,Z_5973,0,,
3,Z_5974,0,,
3,Z_6728,0,,
1,T_2083,0,,
3,Z_6208,0,,
3,Z_6208-2,0,,
1,T_2148,0,,
3,Z_6210,0,,
3,Z_6210-2,0,,
4,Z_5327,0,,
3,Z_6755,0,,
3,Z_6756,0,,
3,Z_5836,0,,
3,Z_5836-2,0,,
3,Z_6165,0,,
3,Z_6165-2,0,,
3,Z_6761,0,,
3,Z_4997,0,,
3,Z_4997-2,0,,
3,Z_7002,0,,
3,Z_7002-2,0,,
3,Z_4538,0,,
3,Z_4538-2,0,,
3,Z_5831,0,,
3,Z_5831-2,0,,
1,T_2149,0,,
1,T_2150,0,,
4,T_1388,0,,
3,Z_6066,0,,
4,T_1389,0,,
4,T_1835,0,,
4,T_1204,0,,
4,T_162,0,,
4,T_1206,0,,
4,T_1205,0,,
3,Z_5361,0,,
3,Z_5361-2,0,,
3,Z_6676,0,,
3,Z_6675,0,,
3,Z_5385,0,,
3,Z_5384,0,,
4,T_1190,0,,
4,T_1529,0,,
4,T_1527,0,,
4,T_1526,0,,
4,T_1525,0,,
4,T_2024,0,,
4,T_1528,0,,
4,T_1910,0,,
4,T_1195,0,,
4,T_1196,0,,
4,T_1197,0,,
4,T_2095,0,,
4,T_2094,0,,
4,T_1531,0,,
3,Z_7019,0,,
3,Z_5823,0,,
3,Z_5823-2,0,,
3,Z_6222,0,,
3,Z_6227,0,,
3,Z_6228,0,,
3,Z_6818,0,,
3,Z_6818-2,0,,
3,Z_6845,0,,
3,Z_6845-2,0,,
3,Z_6998,0,,
3,Z_6998-2,0,,
3,Z_4980,0,,
3,Z_4981,0,,
3,Z_5135,0,,
3,Z_5136,0,,
3,Z_5983,0,,
3,Z_5983-2,0,,
3,Z_5982,0,,
3,Z_5982-2,0,,
3,Z_5811,0,,
3,Z_5811-2,0,,
6,Z_6961,0,,
3,Z_4775,0,,
3,Z_5987-2,0,,
3,Z_6894-2,0,,
3,Z_6319,0,,
3,Z_6897-2,0,,
3,Z_6966,0,,
3,Z_6471,0,,
3,Z_6450,0,,
3,Z_6454,0,,
3,Z_4652,0,,
3,Z_5515-2,0,,
3,Z_7020-2,0,,
3,Z_7022,0,,
3,Z_5166,0,,
3,Z_5262,0,,
3,Z_6784,0,,
3,Z_6782-2,0,,
3,Z_6925-2,0,,
3,Z_6863-2,0,,
3,Z_5340,0,,
3,Z_5446-2,0,,
3,Z_5854,0,,
3,Z_5812-2,0,,
3,Z_6829-2,0,,
3,Z_4815,0,,
3,Z_6992-2,0,,
3,Z_5731,0,,
3,Z_6830,0,,
1,T_2172,0,,
3,Z_6449,0,,
3,Z_6493-2,0,,
3,Z_6635,0,,
