route_id,route_short_name,route_long_name,route_desc,agency_id,route_color,route_text_color,route_type
Z_5619-2,14-6,El verjon,URBANO,3,00618E,FFFFFF,3
Z_6542,142,Engativa,URBANO,3,00618E,FFFFFF,3
Z_6542-2,142,Centro internacional,URBANO,3,00618E,FFFFFF,3
Z_5435,143,Las acacias,URBANO,3,00618E,FFFFFF,3
Z_5435-2,143,Germania,URBANO,3,00618E,FFFFFF,3
Z_5423,15,Brasil,URBANO,3,00618E,FFFFFF,3
Z_5423-2,15,Marly,URBANO,3,00618E,FFFFFF,3
Z_6017,15-3,Estacion 1 de mayo,URBANO,3,00618E,FFFFFF,3
Z_6017-2,15-3,Horacio orjuela,URBANO,3,00618E,FFFFFF,3
Z_5626,15-4,Ramajal,URBANO,3,00618E,FFFFFF,3
Z_5631,15-5,Bicentenario,URBANO,3,00618E,FFFFFF,3
Z_6793,16,Portal usme,URBANO,3,00618E,FFFFFF,3
Z_6793-2,16,Bosa brasil,URBANO,3,00618E,FFFFFF,3
T_1284,16-1,Tierra grata,ALIMENTADOR,4,196939,FFFFFF,3
Z_4663,16-10,Villemar,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6946,16-12,Belen refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6882,16-12,Belen,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6945,16-12,Portal eldorado refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
T_2088,16-14,Aeropuerto,ALIMENTADOR,4,196939,FFFFFF,3
T_1285,16-2,Engativa centro,ALIMENTADOR,4,196939,FFFFFF,3
T_1291,16-3,Av. eldorado alamos,ALIMENTADOR,4,196939,FFFFFF,3
T_1286,16-4,El muelle,ALIMENTADOR,4,196939,FFFFFF,3
Z_6223,16-5,Villa amalia,URBANO,3,00618E,FFFFFF,3
Z_6223-2,16-5,Portal eldorado,URBANO,3,00618E,FFFFFF,3
T_1288,16-6,La faena,ALIMENTADOR,4,196939,FFFFFF,3
Z_6948,16-7,La estancia refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6947,16-7,Portal eldorado refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6971,16-7,La estancia,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6881,16-8,Zona franca,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5211,16-9,Fontibon centro,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6972,166,Porciuncula - metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_5149,17-2,Est. av. rojas,URBANO,3,00618E,FFFFFF,3
Z_5149-2,17-2,Santa helenita,URBANO,3,00618E,FFFFFF,3
Z_4852,17-3,Modelia,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6879,17-3,Av. rojas refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6880,17-3,Modelia refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5595,18-11,Unicentro,ESPECIAL,6,822433,FFFFFF,3
Z_5693,18-13,Lomitas,URBANO,3,00618E,FFFFFF,3
